ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
BRA,2013,89.0,,0.07976602,81,,0.755,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRA,2017,96.0,,0.09471251,83,,0.736,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRA,2022,,,0.09142775,83,,0.713,,,,1,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRB,2010,,,0.06770947,79,,0.374,,,,4,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRB,2015,90.0,,0.06818275,83,,0.338,,,,4,1,0,1,0,3,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRB,2018,,,0.06439439,82,0.975,0.334,,,,4,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRB,2021,,34.9,0.0793866,81,,0.337,,,,4,1,1,1,0,3,0.0,1.0,100,,missing,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BRB,2023,,,,82,,,,,,4,1,1,0,0,2,0.0,1.0,100,100.0,missing,missing,missing,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
BRN,2023,,,,84,,,2.0,,,7,1,1,1,0,3,0.0,1.0,100,100.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
BTN,2011,50.0,,0.03083106,58,,0.264,,2.0,,1,1,1,1,0,3,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BTN,2012,,,0.03320876,58,,0.265,,2.0,,1,1,1,1,0,3,0.0,1.0,40,,missing,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BTN,2016,76.0,,0.03327101,65,,0.273,,2.0,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BTN,2019,59.0,40.8,0.03375112,66,,0.277,2.0,2.0,,1,1,0,1,0,3,0.0,1.0,40,,observed,observed,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BTN,2020,71.0,,0.04084515,69,,0.278,2.0,2.0,,1,1,1,1,0,3,0.0,1.0,40,,observed,missing,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BTN,2021,52.0,39.8,0.03072905,68,,0.276,2.0,2.0,,1,1,0,1,0,3,0.0,1.0,40,,observed,observed,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BTN,2023,,,,69,,,2.0,2.0,,1,2,0,1,1,3,0.0,1.0,40,40.0,missing,missing,missing,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed
BWA,2011,,,0.0586915,56,,0.429,2.0,2.0,,7,1,1,0,0,2,0.0,1.0,40,,missing,missing,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BWA,2015,56.0,,0.06102878,60,,0.425,2.0,2.0,,7,1,1,1,0,3,0.0,1.0,40,,observed,missing,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BWA,2018,26.0,,0.06040103,57,0.525,0.432,2.0,2.0,,7,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,observed,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BWA,2020,43.0,,0.0612134,61,,0.425,2.0,2.0,,7,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
CAF,2016,29.0,,0.05444023,32,,0.168,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CAN,2012,98.0,,0.10544606,90,,0.815,,,,5,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CAN,2015,99.0,,0.10768502,91,,0.801,,,,5,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CAN,2020,100.0,,0.13024195,92,,0.795,,,,5,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CAN,2021,97.0,69.8,0.12419209,92,0.95,0.801,,,,5,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CAN,2022,,,0.11234325,92,,0.802,2.0,,,5,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHE,2011,86.0,,0.10119406,84,,0.753,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHE,2012,85.0,,0.1034785,85,,0.754,,,,1,1,0,0,1,1,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHE,2014,91.0,,0.10699674,85,,0.753,,,,1,1,0,0,1,1,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHE,2015,91.0,,0.11004446,86,,0.753,,,,1,1,0,0,1,1,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHE,2023,,,,87,,,2.0,,,1,1,1,0,0,2,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
CHL,2010,,,0.06819584,73,,0.614,,,,1,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHL,2011,87.0,,0.06799475,75,,0.622,,,,1,1,1,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHL,2013,73.0,,0.07475527,76,,0.627,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHL,2015,74.0,,0.08351394,79,0.5,0.624,,,,1,1,1,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHL,2018,74.0,,0.09150404,81,0.5,0.626,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHL,2021,73.0,56.2,0.09685933,82,0.9,0.628,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2010,,,0.04230683,73,,0.804,,,,4,2,2,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2011,89.0,,0.04342744,74,,0.816,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2012,86.0,,0.04565848,75,,0.822,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2013,94.0,,0.04714907,77,,0.83,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2014,98.0,,0.04777906,78,,0.836,,,,4,2,2,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2015,99.0,,0.0493828,79,,0.84,,,,4,1,0,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2016,98.0,,0.04979556,80,,0.84,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2017,100.0,,0.05065922,81,,0.843,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2018,94.0,,0.05167905,81,,0.849,,,,4,2,2,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2019,93.0,49.0,0.05350278,82,,0.855,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2020,94.0,,0.05593597,83,1.0,0.856,,,,4,1,0,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CHN,2021,94.0,47.5,0.05383605,84,,0.861,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
