ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag,disaster_risk_oriented,e_spar_mm_global,ghs_index_mm_global,hexp_gdp_mm_global,efforts_A_mm_global,efforts_B_mm_global,uhc_index_mm_global,health_policy_mm_global,national_plan_mm_global,national_strategy_mm_global,recognition_mm_global,participation_event_it_mm_global,decision_event_it_mm_global,leadership_event_it_mm_global,admin_event_it_mm_global,role_type_it_mm_global,disaster_risk_oriented_mm_global,NoExclusion_mm_global,e_spar_mm_year,ghs_index_mm_year,hexp_gdp_mm_year,efforts_A_mm_year,efforts_B_mm_year,uhc_index_mm_year,health_policy_mm_year,national_plan_mm_year,national_strategy_mm_year,recognition_mm_year,participation_event_it_mm_year,decision_event_it_mm_year,leadership_event_it_mm_year,admin_event_it_mm_year,role_type_it_mm_year,disaster_risk_oriented_mm_year
AUS,2021,88.0,71.1,0.10425253,89,0.7,0.788,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89574747,0.8620689655172413,0.9152823920265779,0.9571428571428572,0.0,,0.7,,,,0.5,0.0,0.5,0.0,0.0,0.5,0.5567073640257861,1.0,0.85,0.9198664440734555,0.9523809523809523,0.0,,0.7,,,,0.5,0.0,0.5,0.0,0.0,0.5,0.5789708042878243
AUS,2023,88.0,71.1,0.10425253,89,0.7,,2.0,,,4,1,1,0,0,2,0.0,1.0,20,20.0,imputed,imputed,imputed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed,0.89574747,0.8620689655172413,0.9152823920265779,0.9571428571428572,0.0,0.0,0.7,1.0,,,0.5,0.0,0.5,0.0,0.0,0.5,0.5567073640257861,1.0,0.8153846153846154,0.9066147859922177,1.0,0.0,0.0,0.7,1.0,,,0.5,0.0,1.0,0.0,0.0,0.5,0.433653680624656
AUT,2014,91.0,57.4,0.10368092,83,,0.71,,,,4,1,1,1,0,3,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89631908,0.896551724137931,0.6877076411960132,0.8714285714285714,0.0,,,,,,0.5,0.0,0.5,0.5,0.0,1.0,0.5595785498444662,1.0,0.8902439024390244,0.6405353728489483,0.8983050847457628,0.0,,,,,,0.6,0.0,0.5,1.0,0.0,1.0,0.4096785857333487
AUT,2019,67.0,57.4,0.10487536,82,,0.705,1.0,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89512464,0.6206896551724138,0.6877076411960132,0.8571428571428571,0.0,,,0.0,,,0.5,0.0,0.5,0.0,0.0,0.5,0.5535789011517143,1.0,0.5294117647058824,0.6775300171526586,0.9,0.0,,,0.0,,,0.5,0.0,0.5,0.0,0.0,0.5,0.4266369227992258
AZE,2012,,,0.03156821,62,,0.507,,,,1,1,1,0,0,2,0.0,1.0,60,,imputed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.96843179,,,0.5714285714285714,0.5,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9217992777858341,1.0,,,0.5692307692307692,0.5,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9364436278739751
BDI,2015,56.0,22.1,0.06290226,49,0.625,0.201,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.93709774,0.4942528735632184,0.10132890365448508,0.38571428571428573,0.75,,0.625,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.7644089592088283,1.0,0.38571428571428573,0.09075630252100844,0.3333333333333333,0.75,,0.625,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6950504552921499
BDI,2016,62.0,22.1,0.07061482,47,0.625,0.196,,2.0,,1,1,1,0,0,2,0.0,1.0,80,,observed,imputed,observed,observed,observed,missing,carried_forward,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.92938518,0.5632183908045977,0.10132890365448508,0.35714285714285715,0.75,,0.625,,1.0,,0.0,0.0,0.5,0.0,0.0,0.5,0.7256689215997651,1.0,0.4722222222222222,0.07204116638078907,0.36363636363636365,0.75,,0.625,,0.0,,0.0,0.0,0.5,0.0,0.0,0.5,0.6702804977057769
BDI,2021,38.0,22.1,0.08994843,45,0.775,0.198,2.0,2.0,1.0,1,1,1,0,0,2,0.0,1.0,80,,observed,observed,observed,observed,observed,carried_forward,carried_forward,carried_forward,observed,observed,observed,observed,observed,observed,observed,missing,0.91005157,0.28735632183908044,0.10132890365448508,0.32857142857142857,0.75,,0.775,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.6285565777711319,1.0,0.225,0.10183639398998331,0.25396825396825395,0.75,,0.775,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.6536933600822612
BEL,2012,82.0,,0.10502501,85,,0.722,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89497499,0.7931034482758621,,0.9,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.552827212136887,1.0,0.76,,0.9230769230769231,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.4057906542782533
BEN,2014,44.0,25.4,0.0269112,30,0.1,0.315,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.9730888,0.3563218390804598,0.15614617940199332,0.11428571428571428,0.25,,0.1,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9451913476751812,1.0,0.3170731707317073,0.028680688336520075,0.0,0.25,,0.1,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9495111603777618
BEN,2016,28.0,25.4,0.02795496,26,0.1,0.303,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97204504,0.1724137931034483,0.15614617940199332,0.05714285714285714,0.25,,0.1,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.939948561667055,1.0,0.0,0.12864493996569468,0.045454545454545456,0.25,,0.1,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9641660934409085
BEN,2017,30.0,25.4,0.02668138,33,0.175,0.31,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,imputed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97331862,0.19540229885057472,0.15614617940199332,0.15714285714285714,0.25,,0.175,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9463457290275877,1.0,0.027777777777777776,0.12864493996569468,0.0847457627118644,0.25,,0.175,,,,0.0,0.0,1.0,0.0,0.0,0.5,0.9836216601254242
BEN,2021,39.0,25.4,0.02581295,37,0.175,0.327,2.0,2.0,,1,1,0,1,0,3,0.0,1.0,40,,observed,observed,observed,observed,imputed,carried_forward,carried_forward,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97418705,0.2988505747126437,0.15614617940199332,0.21428571428571427,0.25,,0.175,1.0,1.0,,0.0,0.0,0.0,0.5,0.0,1.0,0.9507078358845639,1.0,0.2375,0.15692821368948243,0.12698412698412698,0.25,,0.175,1.0,0.0,,0.0,0.0,0.0,0.5,0.0,1.0,0.9887278594707567
